Variable	Feature	Value	Coefficient	N	N not 0	P-value	Q-value
V1	Bacteria|1	V1	0.000376948962983632	228	78	0.000337563617350514	0.0140710728916636
V1	Bacteria|2	V1	-0.000172924087271453	228	39	0.00173356878954918	0.04501595020731
V1	Bacteria|3	V1	0.000176541929148173	228	50	0.00213541203877865	0.0497425392562556
V1	Bacteria|4	V1	0.000233041055999211	228	54	0.00309255350077782	0.0653147299364275
V1	Bacteria|5	V1	0.000170023412983991	228	28	0.0055803225587723	0.0982136770343924
V1	Bacteria|6	V1	-0.000129327171064622	228	29	0.00625257130491581	0.103167426531111
V1	Bacteria|7	V1	-0.00246205053294096	228	227	0.201094523365195	0.215761136458804
V1	Bacteria|8	V1	-0.000133233647710018	228	28	0.30115927181414323	0.3158300564965765
V1	Bacteria|9	V1	-0.000390699948289467	228	127	0.40153721372588625	0.4190230198578424
V1	Bacteria|10	V1	0.000260009506485308	228	110	0.50180198778634843	0.5211433233598216
